snoRNA,disease,label
SNORD50B,Oral squamous cell carcinoma,0
SNORD115-16,Liposarcoma,0
SNORD1A,West nile virus infection,0
SNHG17,Glioblastoma,0
SNHG1,Meningioma,0
SCARNA4,Chronic myeloid leukemia,0
SNORA5B,Osteosarcoma,0
SNORD96A,Ischemia,0
SNORD92,Prostate carcinoma,0
GAS5,Colorectal carcinoma,0
SNORD116-24,Laryngeal cancer,0
SNORD73A,Lung squamous cell carcinoma,0
SNORD105B,Cardiac hypertrophy,0
SCARNA2,Liver cirrhosis,0
SNORD28,Lung small cell carcinoma,0
SCARNA11,Osteoarthritis,0
SNORD113-4,Mouth neoplasms,0
SNORA16A,Clear cell renal cell carcinoma,0
SNORD4B,Liver fibrosis,0
SNORD59A,Tongue squamous cell carcinoma,0
RNU1-2,Esophageal squamous cell cancer,0
SNORD38A,Epithelial ovarian cancer,0
SNORD116-20,Epithelial ovarian carcinoma,0
SNORD90,Pre-eclampsia,0
SNORD10,Nk/T cell lymphoma,0
SNORD98,Pediatric neuroblastoma,0
SNHG25,Atherosclerosis,0
SNORA70E,Head and neck squamous cell carcinoma,0
SNORD114-15,Colorectal carcinoma,0
SNORD78,B-cell lymphoma,0
SCARNA5,Primary breast cancer,0
SNORD91B,Lung small cell carcinoma,0
SNORD105B,Wilms tumor,0
SNORD114-26,Chronic obstructive pulmonary disease,0
SCARNA14,Ovarian clear cell carcinoma,0
SNORA71C,B-cell lymphoma,0
SNORA46,Muscle-invasive bladder cancer,0
RNU1-1,Thyroid cancer,0
SNORD45C,Gallbladder cancer,0
SNORD28,Papillary thyroid carcinoma,0
SNORD115-32,B-cell lymphoma,0
SNORA52,Cerebral cavernous malformations,0
SNORD46,Chronic myeloid leukemia,0
SNORD11B,Colon and rectal adenocarcinoma,0
SNORA27,Chronic obstructive pulmonary disease,0
SNORD116-16,Mouth neoplasms,0
SNORD116@,Nasopharyngeal carcinoma,0
SNORD113-9,Osteoarthritis,0
SNORD114-14,Lung cancer,0
SNORD112,Dysregulated immunity,0
SNORD114-17,Alzheimer disease,0
SNORD18C,Renal cell cancer,0
SNORD119,Papillary thyroid cancer,0
SNORD82,Cholangiocarcinoma,0
SNORA58,Liver fibrosis,0
SNORD121B,Uterine leiomyoma,0
SNORA37,Gastric carcinoma,0
MEG8,Breast neoplasms,0
SNORD115-40,Meningioma,0
SNORD5,Cancer,0
SNORD114-13,Clear cell renal cell carcinoma,0
SNORD116-29,Esophagus adenocarcinoma,0
SNORA74B,Diffuse large B cell lymphoma,0
SNORD115-32,Lung adenocarcinoma,0
SCARNA11,Epstein-barr virus infections,0
SNORD115-33,West nile virus infection,0
SNORA58,Dysregulated immunity,0
SNORD62B,Wilms tumor,0
SNORD116-20,Parkinson disease,0
SNORA53,Renal cell cancer,0
SNORA58,Nasopharyngeal cancer,0
SNORD98,Renal carcinoma,0
SNORD103A,Cardiac hypertrophy,0
SNORD113-3,Diffuse large B cell lymphoma,0
SNORD115-42,Non small cell lung carcinoma,0
SNORD58B,Early hepatocellular carcinoma,0
SNORD6,Liposarcoma,0
SNORD14B,Papillary thyroid carcinoma,0
SNORD116-25,Epithelial ovarian carcinoma,0
SNORA3A,Lung squamous cell carcinoma,0
SNORA65,Mouth neoplasms,0
SNORD19,Esophageal cancer,0
SNORA27,Papillary thyroid carcinoma,0
SNORA6,Liver fibrosis,0
SNORD50A,Colon and rectal adenocarcinoma,0
SCARNA3,Alzheimer disease,0
SNORD38B,Ovarian carcinoma,0
SNORA53,Lung carcinoma,0
SNORA48,Epithelial ovarian cancer,0
SNORD48,Hypopharyngeal cancer,0
SNORA57,Colorectal adenocarcinoma,0
SNORA36C,Papillary thyroid carcinoma,0
SNORD113-5,Osteoarthritis,0
SNORD14B,Hemangioma,0
RNU7-1,Atherosclerosis,0
SNORD18C,Dysregulated immunity,0
SNORA13,Esophageal squamous cell carcinoma,0
SNORA21,Epithelial ovarian cancer,0
SNORD116@,Prostatic neoplasms,0
SNORD116-16,Laryngeal squamous cell carcinoma,0
SNORD103C,Meningioma,0
SNORD3P3,Herpes simplex keratitis,0
SNORD2,Pneumonia,0
SNORA15,Muscle-invasive bladder cancer,0
SNHG14,Lung adenocarcinoma,0
SNORD3B-1,Oral squamous cell carcinoma,0
SNORD44,T-cell acute lymphoblastic leukemia,0
SNORD62B,Neuroblastoma,0
RNU1-4,Nasopharyngeal carcinoma,0
SNORD16,Ovarian carcinoma,0
SNORA81,Ovarian cancer,0
SNORD115-40,Rheumatoid arthritis,0
SCARNA15,Stomach cancer,0
SNORD102,West nile virus infection,0
SNORD26,Nk/T cell lymphoma,0
SNORD90,Non small cell lung carcinoma,0
SNHG7,Malignant glioma,0
SNORD114-20,Liposarcoma,0
SNHG6,Cancer,0
SNORD36B,Bladder cancer,0
SNORD25,Clear cell renal cell carcinoma,0
SNORD58A,Colon cancer,0
SNHG20,Pancreatic cancer,0
SNORD116-24,Parkinson disease,0
SNORD78,Meningioma,0
SNORD114-15,Chronic myeloid leukemia,0
SNHG21,Retinoblastoma,0
SNORD113-2,Epithelial ovarian carcinoma,0
SNORD119,Lymphoma,0
SNORD70,Gallbladder cancer,0
SNORD37,Glioblastoma,0
SNORD114-20,Colon cancer,0
SNORD1C,Lymphosarcoma,0
SNORA71B,Epstein-barr virus infections,0
SNORD115-1,Atherosclerosis,0
SNORD18A,B-cell lymphoma,0
SNORD24,Clear cell renal cell carcinoma,0
SNORA58,Lung squamous cell carcinoma,0
SNORA74A,Muscle-invasive bladder cancer,0
SNORD114-17,B-cell lymphoma,0
SNORD36B,Myasthenia gravis,0
SNORA80E,Lung squamous cell carcinoma,0
SNORD71,Uterine leiomyoma,0
SNORD50A,Gallbladder cancer,0
SCARNA7,Hypopharyngeal cancer,0
SNORD12B,Renal cell carcinoma,0
SNORD1B,B-cell lymphoma,0
SNORD114-23,Lymphosarcoma,0
SNORD116-20,Papillary thyroid cancer,0
SNORD126,Multiple myeloma,0
SNORD5,Adenocarcinoma,0
SNORA55,Wilms tumor,0
SNORA1,Cervical cancer,0
SNORD19B,T-cell acute lymphoblastic leukemia,0
SNORD113-1,Gastric cancer,0
SNORD115-8,Primary breast cancer,0
SNORD114-5,Alzheimer disease,0
SNORD116-1,Tuberculosis,0
SNORD11B,West nile virus infection,0
SNORA3B,Osteoarthritis,0
SNORD12,Meningioma,0
SNORD116-2,Nk/T cell lymphoma,0
SNORD25,Pre-eclampsia,0
SNORD116-3,Pneumonia,0
SNORD113-8,Chronic obstructive pulmonary disease,0
SNORA70F,Retinoblastoma,0
SNORA49,Lymphosarcoma,0
SNORD113-2,Chronic obstructive pulmonary disease,0
SNORA57,Liver cirrhosis,0
SNORD1A,Prader-willi syndrome,0
SNORA5A,Laryngeal squamous cell carcinoma,0
SNORD70,Liver fibrosis,0
SNORD11,Liver fibrosis,0
SNORD116-29,Pancreatic adenocarcinoma,0
SNORD113-2,Alzheimer disease,0
SCARNA5,Cardiac hypertrophy,0
SNHG21,Bladder cancer,0
SNORA59B,Nasopharyngeal cancer,0
SNORD21,Lung squamous cell carcinoma,0
SNORA31,Ovarian cancer,0
SNORD56,Acute myeloid leukemia,0
SNORD76,Alzheimer disease,0
SNORD63,Nasopharyngeal carcinoma,0
SNORD3B-1,Prostate cancer,0
SNORD59B,Glioma,0
SNORD115-1,Hemangioma,0
SNORD114-15,Early hepatocellular carcinoma,0
SNORD89,Liposarcoma,0
SNORD125,B-cell lymphoma,0
SNORD51,Hepatocellular carcinoma,0
SNORD66,Papillary thyroid carcinoma,0
SNORD115-31,Uterine leiomyoma,0
SNORD3C,Uterine cervical neoplasm,0
SNORD105B,Colorectal adenocarcinoma,0
SNORD38A,Mouth neoplasms,0
SNORD79,Wilms tumor,0
SNORD50B,Non small cell lung carcinoma,0
SNORD53,Non small cell lung carcinoma,0
SNORD114-13,Early hepatocellular carcinoma,0
SNORA17A,Atherosclerosis,0
SNORD127,Bladder cancer,0
SNORD113-6,Pancreatic cancer,0
SNHG17,Nasopharyngeal carcinoma,0
SNORA69,Ischemia,0
SNORD114-5,Chronic myeloid leukemia,0
SNORD58B,Muscle-invasive bladder cancer,0
RNU2-1,Esophagus adenocarcinoma,0
SNHG17,Mouth neoplasms,0
SNORD101,Cholangiocarcinoma,0
SNORD113-4,Ischemia,0
SNORD116-29,Lung small cell carcinoma,0
SNORD72,Renal cell carcinoma,0
SNORD113-2,Osteosarcoma,0
SNORD88A,Myasthenia gravis,0
SNORA29,Chronic myeloid leukemia,0
SNORA20,Liver cancer,0
SNORD52,Hepatic carcinoma,0
SNORD44,Acute promyelocytic leukemia,0
SNORD53,Prostate carcinoma,0
SNORD111,Non small cell lung carcinoma,0
SCARNA18,Hemangioma,0
SNORD115-15,Ovarian clear cell carcinoma,0
SNORD7,Esophageal squamous cell carcinoma,0
SNORD14E,Papillary thyroid carcinoma,0
SNORD74,Pancreatic ductal adenocarcinoma,0
SNHG21,Cervical cancer,0
SNORD84,Colon and rectal adenocarcinoma,0
SNORA52,Esophageal squamous cell cancer,0
SNORA8,Liver fibrosis,0
SNORD121A,Laryngeal squamous cell carcinoma,0
SNORD83B,Stomach cancer,0
SNORD51,Non small cell lung cancer,0
SNHG21,Liver cirrhosis,0
SNHG1,Uterine leiomyoma,0
SCARNA22,Lymphoma,0
SNORA28,Pneumonia,0
SNHG19,Heart failure,0
SNORD103A,Colon and rectal adenocarcinoma,0
SNORA50A,Glioblastoma,0
SNHG11,Pancreatic ductal adenocarcinoma,0
SNORD65,Lymphoma,0
SNORA3B,Hemangioma,0
SNORD43,Atherosclerosis,0
SNORD14B,Nasopharyngeal carcinoma,0
SNHG5,Wilms tumor,0
SNORA53,Esophageal cancer,0
SNORA31,Non small cell lung carcinoma,0
SNORD94,Leukemia lymphoblastic acute,0
SNORA36A,Adenocarcinoma,0
SNORD115-1,Uterine cervical neoplasm,0
SNORD14A,Pancreatic adenocarcinoma,0
SNORD90,Gallbladder cancer,0
SNORD84,Esophageal squamous cell carcinoma,0
SNORD18B,Multiple myeloma,0
SNORD105,Herpes simplex keratitis,0
SNORA17A,Lung small cell carcinoma,0
SNORA44,Liver cancer,0
SNORA23,Alzheimer disease,0
SNORD64,Pre-eclampsia,0
SNORD27,Gallbladder cancer,0
SNORD1C,Colorectal cancer,0
SNORD115-8,Lung carcinoma,0
SNORD36A,Colorectal cancer,0
SNORA79,Breast neoplasms,0
SNORA6,Lung squamous cell carcinoma,0
SNORD103B,Pneumonia,0
SNORA59B,Lung squamous cell carcinoma,0
SNORD46,Glioma,0
SNORD16,Ischemia,0
SNORD4A,Hepatic carcinoma,0
SNORD113-1,Osteosarcoma,0
SNORD116-21,Non small cell lung cancer,0
SNORA46,Lymphoma,0
SNORD115-16,Renal cell carcinoma,0
SNORD44,Liposarcoma,0
SCARNA16,Cancer,0
SNORD126,Cardiac hypertrophy,0
SNORD45A,Acute promyelocytic leukemia,0
SNORD114-9,Nasopharyngeal carcinoma,0
SNORD13,Acute myeloid leukemia,0
SNORD90,Ovarian cancer,0
SNORD21,Liver cancer,0
SCARNA2,Atherosclerosis,0
SNORD114-26,Nk/T cell lymphoma,0
SNORD7,Bladder cancer,0
SNORD12B,Chronic myeloid leukemia,0
SNORD62B,Lung cancer,0
SNORD114-10,Esophageal squamous cell carcinoma,0
SNORD58A,Mouth neoplasms,0
RNU1-4,Diffuse large B cell lymphoma,0
SNORD74,Breast neoplasms,0
SNORD99,Nasopharyngeal carcinoma,0
SNORD87,Urinary bladder cancer,0
SNORA16A,Prostatic neoplasms,0
SNORD1B,Adenocarcinoma,0
SNORD103C,Breast neoplasms,0
SNORA70B,Dysregulated immunity,0
SNORD114-9,Thyroid cancer,0
SNORD105B,Pediatric neuroblastoma,0
SNORD113-3,Ovarian carcinoma,0
SNORD48,Uterine cervical neoplasm,0
SNORD124,Lymphosarcoma,0
SNORA74A,Laryngeal cancer,0
SNORD50A,Renal cell carcinoma,0
SNORD48,Malignant glioma,0
SNORA5A,Retinoblastoma,0
SNORD60,Papillary thyroid carcinoma,0
SNORD47,Uterine cervical neoplasm,0
SNORD14E,Osteoarthritis,0
SNORD104,Osteosarcoma,0
SNORD36A,Liver fibrosis,0
SNHG14,Papillary thyroid carcinoma,0
SNORD115-8,Colon cancer,0
SNORD58B,Laryngeal cancer,0
SNORA74B,Pre-eclampsia,0
SNORA8,Esophageal squamous cell cancer,0
SNORD58A,Nonalcoholic fatty liver disease,0
SNORD14D,Urinary bladder cancer,0
SNORD46,Early hepatocellular carcinoma,0
SNORD113-8,Papillary thyroid cancer,0
SNORD28,Renal carcinoma,0
SNORD6,Colon cancer,0
SNORD3B-2,Renal cell carcinoma,0
SNORA1,Parkinson disease,0
SNORD113-3,Breast neoplasms,0
SNORD75,Ovarian clear cell carcinoma,0
SNORD114-22,Atherosclerosis,0
SNORD113-7,Clear cell renal cell carcinoma,0
SNORD52,Renal carcinoma,0
SNORA13,Urinary bladder cancer,0
SNORA80A,Papillary thyroid cancer,0
SNORD113-1,Papillary thyroid cancer,0
SNORD51,Cerebral cavernous malformations,0
SNORD2,Clear cell renal cell carcinoma,0
SNORD23,Pancreatic adenocarcinoma,0
SNORD2,Uterine leiomyoma,0
SNORD65,Pre-eclampsia,0
SNORA13,Epithelial ovarian cancer,0
SNORD105,Papillary thyroid cancer,0
SNORD31,Cerebral cavernous malformations,0
SNORA13,Cervical cancer,0
SNORD23,Colon carcinoma,0
SNORA27,B-cell lymphoma,0
SNORD116-25,Early hepatocellular carcinoma,0
SNORD88C,Neuroblastoma,0
SNORA30,Renal carcinoma,0
SNORD58B,Esophageal squamous cell cancer,0
RNVU1-7,Tongue squamous cell carcinoma,0
SNORD33,Non small cell lung cancer,0
SNORA2B,Esophageal squamous cell carcinoma,0
SNORD113-4,Meningioma,0
SNORA32,Pancreatic ductal adenocarcinoma,0
SCARNA8,Liposarcoma,0
SNORD98,Gastric carcinoma,0
SNORA27,Colon carcinoma,0
SNORA6,Stomach cancer,0
SNORD6,Acute myeloid leukemia,0
SNORD47,Myasthenia gravis,0
SNORA70F,Bladder cancer,0
SNORA36A,Pancreatic ductal adenocarcinoma,0
SNORD119,Colon carcinoma,0
SNORD127,Ovarian clear cell carcinoma,0
SNORD71,Myasthenia gravis,0
SNHG8,Papillary thyroid carcinoma,0
SNORD89,Liver cirrhosis,0
SNORA81,Prostate cancer,0
SNORD15A,Papillary thyroid carcinoma,0
SNORD19B,Bladder cancer,0
SNORD51,Uterine cervical neoplasm,0
SNORA70D,Epithelial ovarian carcinoma,0
SNORD94,Liver fibrosis,0
SNHG8,Prader-willi syndrome,0
SNORA51,Liver fibrosis,0
SNORA4,Prostatic neoplasms,0
SNORD93,Pediatric neuroblastoma,0
MEG8,Meningioma,0
SNORA5B,Ovarian clear cell carcinoma,0
SNORD114-23,Neuroblastoma,0
SNORA26,Lymphoma,0
SCARNA8,Uveal melanoma,0
SNORD116-29,Hemangioma,0
RNU1-4,Papillary thyroid cancer,0
SNORD116-29,Ovarian clear cell carcinoma,0
SCARNA10,Dysregulated immunity,0
SNORD45B,Neuroblastoma,0
SNORD116-15,Epithelial ovarian cancer,0
SCARNA9,Prostatic neoplasms,0
SNHG12,Esophageal squamous cell carcinoma,0
SNORA73A,Tongue squamous cell carcinoma,0
SNORA71C,Nonalcoholic fatty liver disease,0
SNORA7B,Head and neck squamous cell carcinoma,0
SNHG21,Tongue squamous cell carcinoma,0
SNORD15A,Lymphosarcoma,0
SNHG4,Cholangiocarcinoma,0
SNORD14C,Liver cirrhosis,0
SNORA15,Osteoarthritis,0
SNORD113-6,Pre-eclampsia,0
RNU7-1,Osteosarcoma,0
SNORA71B,Leukemia lymphoblastic acute,0
SNORD113-9,Bladder cancer,0
SNORD18A,Clear cell renal cell carcinoma,0
SNORA16B,Thyroid cancer,0
SNORA70D,Clear cell renal cell carcinoma,0
SNORD3B-2,Non small cell lung cancer,0
SCARNA11,Esophageal cancer,0
SNORD4A,Liver fibrosis,0
SNORD88C,Rheumatoid arthritis,0
SNORD114-12,Muscle-invasive bladder cancer,0
SNORA4,Papillary thyroid carcinoma,0
SNORA25,Colon and rectal adenocarcinoma,0
SNORD127,Laryngeal squamous cell carcinoma,0
SNORA7B,Papillary thyroid cancer,0
SNHG6,Renal cell carcinoma,0
SNORA44,Pancreatic adenocarcinoma,0
SNORD125,Oral squamous cell carcinoma,0
SNORD115-13,Liver cancer,0
SNORA80A,Glioma,0
SNHG5,Cancer,0
SNORD22,Melanoma,0
SNORA61,Lung carcinoma,0
SNORD72,Atherosclerosis,0
SNORD110,Prostate cancer,0
SNORD114-5,Leukemia lymphoblastic acute,0
SNORA22,Neuroblastoma,0
SNORD42B,Ischemia,0
SNORD82,Retinoblastoma,0
SCARNA9,Epithelial ovarian cancer,0
MEG8,Herpes simplex keratitis,0
SNORA61,Oral squamous cell carcinoma,0
SNORD42B,Colorectal cancer,0
SNORD119,Epithelial ovarian carcinoma,0
SNORA65,Esophageal cancer,0
SNORA18,Cancer,0
SNORD14A,Colon cancer,0
SNORD67,Alzheimer disease,0
SNORD103C,Dysregulated immunity,0
SNORD63,Pneumonia,0
SNORD114-17,Herpes simplex keratitis,0
SNORD36B,Chronic obstructive pulmonary disease,0
SNORD15B,Glioblastoma,0
SNORA8,Non small cell lung cancer,0
SNORD103A,Pneumonia,0
SNORD127,Non small cell lung carcinoma,0
SNORD22,Liver fibrosis,0
SNORD114-20,Breast neoplasms,0
SNORA44,Cerebral cavernous malformations,0
SNORD99,Ischemia,0
SNORD28,Acute promyelocytic leukemia,0
SNORD26,Atherosclerosis,0
SNORD58A,Pancreatic cancer,0
SNORD123,Bladder cancer,0
SNORD49A,Atherosclerosis,0
SNORD1B,Laryngeal cancer,0
SNORD113-9,Pancreatic ductal adenocarcinoma,0
SNORD113-8,Prostate carcinoma,0
SNORA58,Osteosarcoma,0
SNORA54,Ovarian cancer,0
SNORA61,Non small cell lung cancer,0
SNORD35A,Adenocarcinoma,0
SNORD35A,Cerebral cavernous malformations,0
SNORD84,Epstein-barr virus infections,0
SNORD118,Renal cell carcinoma,0
SNORA68,Acute myeloid leukemia,0
SNORA71C,Cholangiocarcinoma,0
SNORA61,Tuberculosis,0
SNORA44,Heart failure,0
GAS5,Lung small cell carcinoma,0
SNORD114-26,Herpes simplex keratitis,0
SNORD115-40,Pre-eclampsia,0
SNORD11,Triple negative breast cancer,0
SNORD3B-2,Parkinson disease,0
SNORA5B,Lung squamous cell carcinoma,0
SNORD99,Muscle-invasive bladder cancer,0
SNORD115-33,Prostate carcinoma,0
SNORD117,Papillary thyroid carcinoma,0
SNORD115-13,Early hepatocellular carcinoma,0
MEG8,Head and neck squamous cell carcinoma,0
SNORD28,Malignant glioma,0
SNORD33,Early hepatocellular carcinoma,0
SNORD116-29,Urinary bladder cancer,0
SNORA62,Laryngeal squamous cell carcinoma,0
SNORD11B,Papillary thyroid carcinoma,0
SNORA27,Renal cell carcinoma,0
SNORD4B,Triple negative breast cancer,0
SNORD69,Gastric cancer,0
RNU1-1,Osteosarcoma,0
SNORD50B,Papillary thyroid carcinoma,0
SNORD66,Lung carcinoma,0
SNORD98,Prostate cancer,0
SNORD114-13,Ovarian clear cell carcinoma,0
SCARNA7,Thyroid cancer,0
SCARNA17,Epstein-barr virus infections,0
SNORD117,Osteoarthritis,0
SNORA81,Glioma,0
SNORD42A,Renal cell cancer,0
SNORD90,Gastric cancer,0
SNORD45A,Osteoarthritis,0
SNORA11E,Mouth neoplasms,0
SNORD47,T-cell acute lymphoblastic leukemia,0
SNORA70D,Neuroblastoma,0
SNORA74A,Epithelial ovarian cancer,0
SNORD116-15,Psoriatic arthritis,0
SNORD113-6,Hypopharyngeal cancer,0
SNORD7,Epstein-barr virus infections,0
SNORD50A,Renal carcinoma,0
SNORD117,Prostatic neoplasms,0
SNORA70B,Breast neoplasms,0
SNORD114-11,Early hepatocellular carcinoma,0
SNORA13,Cardiac hypertrophy,0
RNU1-3,Nonalcoholic fatty liver disease,0
SNORD96A,Lung adenocarcinoma,0
SNORD115-32,Gastric cancer,0
SNORA63,Pre-eclampsia,0
SNORD3B-1,Retinoblastoma,0
RNU1-1,Lymphosarcoma,0
SNORD31,Nonalcoholic fatty liver disease,0
SNORD67,Esophageal cancer,0
SNHG25,Nasopharyngeal cancer,0
SNORD114-2,Colorectal carcinoma,0
SNORA57,Tongue squamous cell carcinoma,0
SNORD59B,Osteosarcoma,0
SNORD114-14,Adenocarcinoma,0
SNORD48,Esophageal cancer,0
SNORA8,Stomach cancer,0
SNORA70E,Alzheimer disease,0
SNORA11E,Gastric cancer,0
SNORD67,Colon cancer,0
SNORD113-6,Diffuse large B cell lymphoma,0
SNORD33,Nasopharyngeal carcinoma,0
SNORD113-3,Renal cell cancer,0
SNORD114-15,Urinary bladder cancer,0
SNORA1,Gastric cancer,0
SNORD114-17,Meningioma,0
SNORD115-15,Lung squamous cell carcinoma,0
SNORD88C,Muscle-invasive bladder cancer,0
SNORD38A,Nk/T cell lymphoma,0
SNORA49,Uterine leiomyoma,0
SNORA36A,Ovarian cancer,0
SNORD74,Lung small cell carcinoma,0
SNORD70,Non small cell lung carcinoma,0
SNORD114-20,Chronic obstructive pulmonary disease,0
SNHG8,Colorectal adenocarcinoma,0
SNORA70C,Heart failure,0
SNORA40,Cholangiocarcinoma,0
SNORA65,Colon cancer,0
SCARNA13,Renal cell carcinoma,0
SNORA16B,Cardiac hypertrophy,0
RNU2-1,Renal cell cancer,0
RNU2-1,Alzheimer disease,0
SNORD84,Chronic obstructive pulmonary disease,0
RNU1-2,Pancreatic ductal adenocarcinoma,0
SNORD68,Osteosarcoma,0
SNORD103B,Renal cell cancer,0
SNORD46,Acute promyelocytic leukemia,0
SNHG6,Nk/T cell lymphoma,0
RNVU1-7,Nonalcoholic fatty liver disease,0
RNU1-1,Laryngeal squamous cell carcinoma,0
SNORD118,Epithelial ovarian cancer,0
SNORA64,Heart failure,0
SNORD114-13,Lung adenocarcinoma,0
SNORA17A,Epithelial ovarian cancer,0
SNHG25,Lymphoma,0
SNORD28,Colorectal adenocarcinoma,0
SNORD4A,Chronic obstructive pulmonary disease,0
SNORA75,Malignant glioma,0
RNU1-1,Chronic myeloid leukemia,0
SNORD121A,Chronic obstructive pulmonary disease,0
SNORD1C,Chronic myeloid leukemia,0
SNORD44,West nile virus infection,0
SNORD72,Dysregulated immunity,0
SNORD105B,Prostate carcinoma,0
SNORD31,Cancer,0
SNORD91B,Herpes simplex keratitis,0
SNORD38A,Rheumatoid arthritis,0
SNORA14A,Neuroblastoma,0
SNORD13,Diffuse large B cell lymphoma,0
SNORD110,Stomach cancer,0
SNORD121B,West nile virus infection,0
TERC,Lymphoma,0
SNORD116-29,Colon carcinoma,0
SNORA81,Colorectal carcinoma,0
SNORA44,Chronic obstructive pulmonary disease,0
SNHG14,Ovarian carcinoma,0
SNORD91B,Lymphoma,0
SNORD14B,Neuroblastoma,0
SCARNA12,Nonalcoholic fatty liver disease,0
SNORD116@,Psoriatic arthritis,0
SNHG7,Lung carcinoma,0
SNORA71C,Papillary thyroid carcinoma,0
SNORD30,Hepatic carcinoma,0
SNORD103A,Renal cell carcinoma,0
SNORA55,Chronic myeloid leukemia,0
SNORD3B-1,Osteoarthritis,0
SNORA31,Diffuse large B cell lymphoma,0
SNORA5B,Acute myeloid leukemia,0
SNORD10,Liver fibrosis,0
SNORD121B,Ovarian clear cell carcinoma,0
SNORA33,Hemangioma,0
SNORA36C,Meningioma,0
SNORA24,Prostate carcinoma,0
SNORD112,Cerebral cavernous malformations,0
SNORD91B,Adenocarcinoma,0
SNORD88A,Cerebral cavernous malformations,0
SNORD41,Glioblastoma,0
SCARNA3,Ovarian carcinoma,0
SNORA15,Ovarian carcinoma,0
SNORD28,Prostate cancer,0
SNORD52,Liver cirrhosis,0
SNORD83A,Colorectal cancer,0
SNORD23,Alzheimer disease,0
SNORD22,Renal carcinoma,0
SNORA73A,Leukemia lymphoblastic acute,0
SNORD59B,Papillary thyroid cancer,0
SCARNA5,Head and neck squamous cell carcinoma,0
SNORA14B,Esophageal squamous cell cancer,0
SNORD103A,Primary breast cancer,0
SNORA21,Thyroid cancer,0
SNORA16B,Bladder cancer,0
SNORD24,Liver fibrosis,0
SNORD127,Chronic obstructive pulmonary disease,0
SCARNA18,Leukemia lymphoblastic acute,0
SNHG17,Ischemia,0
SNORD115-8,Non small cell lung cancer,0
SNORA31,Dysregulated immunity,0
SNORD113-2,Laryngeal squamous cell carcinoma,0
SCARNA8,Epithelial ovarian cancer,0
SNORA70F,Renal cell cancer,0
SNORD77,Ovarian carcinoma,0
SNORD26,Acute promyelocytic leukemia,0
SNORD28,Liver fibrosis,0
SNORA49,Multiple myeloma,0
SNORD88A,B-cell lymphoma,0
SNORD38A,Pediatric neuroblastoma,0
SNHG18,Primary breast cancer,0
SNORD61,Dysregulated immunity,0
SNORD25,Cardiac hypertrophy,0
SNHG14,Renal cell cancer,0
SNORD3D,Liver fibrosis,0
SNORD31,Renal cell cancer,0
SNORD115-33,Mouth neoplasms,0
SNORD88B,Ovarian clear cell carcinoma,0
SNORD114-17,Epithelial ovarian cancer,0
SNORA27,Colorectal cancer,0
SNORD114-20,Hepatic carcinoma,0
SNORD127,Pneumonia,0
SNORD114-23,Prostate cancer,0
SNORD48,Laryngeal cancer,0
SNORD12C,Colorectal cancer,0
SNORA67,Heart failure,0
SNORD75,Nonalcoholic fatty liver disease,0
RNU1-3,Acute promyelocytic leukemia,0
SNORD36C,Non small cell lung carcinoma,0
SCARNA16,Ovarian cancer,0
SNORD116@,Chronic myeloid leukemia,0
SNORD27,Prader-willi syndrome,0
SNHG1,Chronic myeloid leukemia,0
SNORA73A,Acute myeloid leukemia,0
SNORD58A,Esophagus adenocarcinoma,0
SNORD114-28,Tuberculosis,0
SCARNA9,Chronic myeloid leukemia,0
SNORD64,Glioma,0
SNORD115-31,West nile virus infection,0
SNORD62A,Lung carcinoma,0
SNORA15,Laryngeal cancer,0
SNORD30,Ovarian clear cell carcinoma,0
SNORD99,Esophageal squamous cell carcinoma,0
SNORD116-15,Ovarian cancer,0
SNORD49B,Myasthenia gravis,0
SNORD83B,Muscle-invasive bladder cancer,0
SNORA70E,Wilms tumor,0
SNORA58,Gallbladder cancer,0
SNORD114-13,Wilms tumor,0
SNORA13,Breast neoplasms,0
SNORA33,Multiple myeloma,0
SNHG18,Head and neck squamous cell carcinoma,0
SNORD51,Herpes simplex keratitis,0
SNORD84,Breast cancer,0
SNORA70C,Esophageal cancer,0
SNORA50A,Prostatic neoplasms,0
SNORD66,Leukemia lymphoblastic acute,0
SNORD23,Uterine cervical neoplasm,0
SNORA16B,Herpes simplex keratitis,0
SNORA52,Prader-willi syndrome,0
SNORD99,Glioma,0
SNORA81,Tuberculosis,0
SNORD88B,Gastric carcinoma,0
SNORD43,Uterine leiomyoma,0
SNORD61,Urinary bladder cancer,0
SNORA25,Pneumonia,0
SNORD76,Cerebral cavernous malformations,0
SNORD4B,Prostatic neoplasms,0
SCARNA17,Pre-eclampsia,0
SCARNA3,Stomach cancer,0
SNORD20,Colorectal carcinoma,0
SNORD104,Herpes simplex keratitis,0
SNORD38A,Chronic myeloid leukemia,0
SNORD115-32,Esophageal cancer,0
SNORD113-4,Chronic myeloid leukemia,0
SNORD72,Lung carcinoma,0
SCARNA17,Triple negative breast cancer,0
SNORA64,Bladder cancer,0
SNORD102,Pancreatic cancer,0
SNORA60,Renal cell cancer,0
SNORD35A,B-cell lymphoma,0
SNORA6,Renal cell carcinoma,0
SNORD3P3,Liver fibrosis,0
SNORA30,Nonalcoholic fatty liver disease,0
SNORA7B,Esophagus adenocarcinoma,0
SNORA49,Nasopharyngeal carcinoma,0
SNORD99,Tongue squamous cell carcinoma,0
